RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
16	7	0	0.0996019	0.756693	0.131628	0	-0.00465681	0.631135	-0.00737846
16	8	0	0.383474	0.80979	0.473548	0	0.576732	1.14752	0.502589
16	9	0	0.11248	1.20134	0.0936284	0	0.157519	1.15859	0.135958
17	0	0	0.637506	1.01878	0.625754	0	0.779454	1.01878	0.765086
17	1	0	-0.0846598	0.944659	-0.0896194	0	-0.167082	0.704645	-0.237115
17	2	0	0.273665	0.904227	0.302651	0	0.0298336	0.655795	0.0454922
17	3	0	0.258219	0.808004	0.319577	0	0.273469	0.731683	0.373753
17	4	0	0.275488	0.795486	0.346314	0	0.18666	0.986432	0.189227
17	5	0	0.0589052	0.884799	0.0665746	0	-0.129277	0.754266	-0.171395
17	6	0	0.664144	1.1738	0.565807	0	0.616368	1.37743	0.447478
17	7	0	0.064044	1.00717	0.0635882	0	-0.0618613	0.770888	-0.0802468
17	8	0	0.254906	0.903328	0.282185	0	-0.0116741	1.15262	-0.0101283
17	9	0	-0.0930238	1.04264	-0.089219	0	-0.383302	0.784945	-0.488317
18	0	0	0.317897	0.93612	0.33959	0	0.488593	0.93612	0.521934
18	1	0	0.270859	0.999593	0.270969	0	0.225771	1.02887	0.219436
18	2	0	0.920341	1.03374	0.890298	0	1.30417	0.998404	1.30625
18	3	0	0.59492	0.837321	0.710504	0	0.484923	0.494601	0.980433
18	4	0	0.38054	0.933837	0.407502	0	0.231876	0.591952	0.391713
18	5	0	0.396923	0.872991	0.45467	0	0.288345	0.705341	0.408802
18	6	0	0.123246	0.797197	0.154599	0	0.0209046	1.32329	0.0157974
18	7	0	0.28217	1.02731	0.274669	0	0.13139	0.18608	0.706094
18	8	0	0.318468	0.855086	0.372439	0	0.146269	0.640069	0.228521
18	9	0	0.656753	0.949854	0.691426	0	0.475308	0.909277	0.522732
19	0	0	-0.0825659	0.983329	-0.0839657	0	-0.207328	0.983329	-0.210843
19	1	0	0.16774	1.15289	0.145495	0	-0.0897129	0.940865	-0.0953514
19	2	0	0.0361543	0.96792	0.0373525	0	0.327758	1.05188	0.311592
19	3	0	-0.152105	1.04873	-0.145037	0	-0.153183	0.986908	-0.155215
19	4	0	0.438961	0.989172	0.443766	0	0.166319	0.901744	0.184442
19	5	0	0.230964	0.897306	0.257397	0	-0.180253	1.33061	-0.135467
19	6	0	-0.539176	1.15614	-0.46636	0	-0.403886	0.845226	-0.477844
19	7	0	-0.340795	1.05273	-0.323725	0	0.302871	1.88139	0.160983
19	8	0	0.399288	1.08492	0.368033	0	0.162567	0.636041	0.255592
19	9	0	-0.0371104	0.8808	-0.0421326	0	0.23431	1.19836	0.195525
20	0	0	0.406115	0.986618	0.411624	0	0.747781	0.986618	0.757924
20	1	0	0.410273	0.890395	0.460776	0	0.0849553	0.703549	0.120753
20	2	0	0.0853149	1.02315	0.0833848	0	-0.0502416	0.877697	-0.0572426
20	3	0	0.307433	0.890944	0.345064	0	0.145621	0.876479	0.166143
20	4	0	0.113129	1.10795	0.102107	0	0.142265	0.646606	0.220019
20	5	0	0.271253	0.880589	0.308035	0	0.286643	0.812899	0.352618
20	6	0	-0.033498	1.20097	-0.0278924	0	-0.33211	1.65617	-0.20053
20	7	0	0.12647	0.851653	0.1485	0	-0.326792	0.57146	-0.571855
20	8	0	0.549129	1.21646	0.451415	0	0.763031	1.12734	0.67684
20	9	0	0.0727152	1.14586	0.0634592	0	-0.198478	1.01894	-0.194788
21	0	0	0.37652	0.998081	0.377244	0	0.563908	0.998081	0.564992
21	1	0	0.552556	1.08164	0.510851	0	0.325731	1.19828	0.271832
21	2	0	0.468365	1.07323	0.436407	0	0.541427	1.13577	0.476705
21	3	0	-0.179061	1.01738	-0.176003	0	-0.12867	0.77027	-0.167046
