RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
18	3	0.17431	0.17431	0.651909	0.267384	-0.00864286	-0.00864286	0.912461	-0.00947202
18	4	-0.19998	-0.19998	0.270215	-0.740079	0.154669	0.154669	0.233421	0.662618
18	5	0.0148915	0.0148915	0.142151	0.104759	0.0320078	0.0320078	0.145796	0.219539
18	6	0.0612558	0.0612558	0.111194	0.550893	0.141329	0.141329	0.0869602	1.62522
18	7	0.188426	0.188426	0.0634761	2.96846	0.00606895	0.00606895	0.0440185	0.137873
18	8	-0.0442192	-0.0442192	0.0215504	-2.05189	0.0182017	0.0182017	0.029174	0.623901
19	0	3.60188	3.60188	9.39769	0.383273	6.17024	6.17024	9.39769	0.65657
19	1	3.60531	3.60531	14.6359	0.246333	1.2101	1.2101	6.94348	0.174279
19	2	0.758581	0.758581	3.47614	0.218225	0.707407	0.707407	1.62681	0.434843
19	3	0.166252	0.166252	0.801082	0.207535	0.0890533	0.0890533	0.627644	0.141885
19	4	0.0664505	0.0664505	0.355379	0.186985	0.0747431	0.0747431	0.345481	0.216345
19	5	0.0437455	0.0437455	0.287143	0.152348	0.0099829	0.0099829	0.244887	0.0407653
19	6	0.0601961	0.0601961	0.228293	0.263679	0.0189676	0.0189676	0.229833	0.0825276
19	7	-0.021065	-0.021065	0.173491	-0.121418	0.008473	0.008473	0.183769	0.0461068
19	8	0.0160512	0.0160512	0.117639	0.136445	0.0262879	0.0262879	0.0749977	0.350516
20	0	1.90684	1.90684	9.89659	0.192676	3.36078	3.36078	9.89659	0.339589
20	1	2.75128	2.75128	7.63225	0.360481	1.63957	1.63957	5.04328	0.3251
20	2	0.548891	0.548891	2.49541	0.219961	0.296558	0.296558	1.61754	0.183339
20	3	0.104139	0.104139	0.990909	0.105094	-0.0608242	-0.0608242	0.492742	-0.12344
20	4	-0.0267806	-0.0267806	0.355973	-0.0752319	0.0613522	0.0613522	0.260905	0.235151
20	5	0.0123296	0.0123296	0.176817	0.0697308	0.0804331	0.0804331	0.152386	0.527826
20	6	0.0922551	0.0922551	0.132617	0.695652	0.0545033	0.0545033	0.0926116	0.588515
20	7	0.0542833	0.0542833	0.0682486	0.795376	0.0140688	0.0140688	0.0336622	0.417941
20	8	0.0038893	0.0038893	0.0168506	0.230811	-0.00340462	-0.00340462	0.0140211	-0.242821
21	0	-0.163859	-0.163859	10.0291	-0.0163383	1.61707	1.61707	10.0291	0.161238
21	1	3.33588	3.33588	6.85284	0.486788	3.02597	3.02597	6.7576	0.447788
21	2	1.84573	1.84573	5.36878	0.34379	0.176732	0.176732	3.32984	0.0530753
21	3	0.0873661	0.0873661	1.73728	0.0502891	0.550993	0.550993	1.75484	0.313986
21	4	0.300233	0.300233	0.848575	0.353809	0.112395	0.112395	0.448535	0.250582
21	5	0.114126	0.114126	0.346854	0.329032	0.160495	0.160495	0.314674	0.510035
21	6	0.129598	0.129598	0.280538	0.46196	0.0522963	0.0522963	0.139276	0.375486
21	7	0.038656	0.038656	0.0868499	0.44509	-0.00340508	-0.00340508	0.0440576	-0.0772871
21	8	-0.00593097	-0.00593097	0.0234114	-0.253337	-0.0306595	-0.0306595	0.0223876	-1.36949
22	0	3.51694	3.51694	10.6873	0.329078	5.49616	5.49616	10.6873	0.514271
22	1	2.49326	2.49326	13.0278	0.19138	1.03932	1.03932	5.62858	0.184651
22	2	0.54354	0.54354	2.74449	0.198048	0.253752	0.253752	1.35566	0.18718
22	3	-0.237471	-0.237471	0.918823	-0.258451	-0.46206	-0.46206	1.03042	-0.448418
22	4	0.133149	0.133149	0.892733	0.149147	0.214849	0.214849	0.715369	0.300333
22	5	0.152248	0.152248	0.562169	0.270823	0.173482	0.173482	0.471468	0.367961
22	6	0.173659	0.173659	0.430086	0.403778	0.164984	0.164984	0.372584	0.442811
22	7	0.158297	0.158297	0.299265	0.528954	0.109759	0.109759	0.1812	0.605737
22	8	0.0510338	0.0510338	0.1203	0.424221	-0.0188275	-0.0188275	0.0702782	-0.2679
23	0	-2.26935	-2.26935	8.01015	-0.28331	0.783096	0.783096	8.01015	0.0977629
23	1	2.90593	2.90593	6.79815	0.427459	0.782603	0.782603	9.95861	0.0785856
23	2	1.40055	1.40055	4.38255	0.319575	1.02635	1.02635	2.63599	0.389358
23	3	0.622356	0.622356	1.42183	0.437716	0.234591	0.234591	0.615979	0.380843
23	4	0.326378	0.326378	0.289664	1.12675	0.276468	0.276468	0.319286	0.865893
23	5	0.145352	0.145352	0.267023	0.544342	0.0922151	0.0922151	0.350253	0.263282
23	6	0.245176	0.245176	0.267245	0.917419	0.192548	0.192548	0.408894	0.470899
23	7	0.0424653	0.0424653	0.135423	0.313576	0.058101	0.058101	0.0735798	0.789631
23	8	0.0351866	0.0351866	0.0387435	0.908194	0.0225378	0.0225378	0.0348646	0.646439
24	0	0.904635	0.904635	10.7056	0.0845012	2.92762	2.92762	10.7056	0.273466
24	1	3.63391	3.63391	7.09961	0.511846	1.80574	1.80574	6.32269	0.285596
24	2	-0.527191	-0.527191	3.69561	-0.142653	0.0331244	0.0331244	4.04453	0.00818991
24	3	1.71748	1.71748	4.34665	0.395127	1.13622	1.13622	3.59787	0.315803
24	4	-0.0160898	-0.0160898	1.39521	-0.0115322	0.00932213	0.00932213	0.931303	0.0100098
24	5	0.206268	0.206268	1.0303	0.200203	0.172076	0.172076	0.662455	0.259754
24	6	0.181804	0.181804	0.550855	0.33004	-0.0246246	-0.0246246	0.273511	-0.0900314
24	7	-0.0170263	-0.0170263	0.18997	-0.0896261	0.0151951	0.0151951	0.0506749	0.299855
24	8	0.000955852	0.000955852	0.031917	0.029948	0.0100803	0.0100803	0.0311326	0.323785
25	0	3.1127	3.1127	11.1645	0.278804	4.87639	4.87639	11.1645	0.436778
25	1	2.84978	2.84978	11.0763	0.257287	1.33419	1.33419	3.63307	0.367236
25	2	0.38787	0.38787	2.34435	0.165449	0.249242	0.249242	1.3224	0.188477
25	3	0.212897	0.212897	0.936788	0.227263	0.140474	0.140474	0.513355	0.273639
25	4	0.073201	0.073201	0.315481	0.23203	-0.00755032	-0.00755032	0.231428	-0.0326249
25	5	-0.0461586	-0.0461586	0.167569	-0.275461	0.107999	0.107999	0.208512	0.517949
25	6	0.100711	0.100711	0.190936	0.527461	-0.0131993	-0.0131993	0.0836807	-0.157734
25	7	0.00819282	0.00819282	0.0711366	0.11517	0.0171834	0.0171834	0.0702105	0.244741
25	8	0.00748285	0.00748285	0.0427695	0.174958	-0.00108939	-0.00108939	0.0265882	-0.0409726
26	0	1.20665	1.20665	9.78209	0.123353	2.74907	2.74907	9.78209	0.281031
26	1	2.8728	2.8728	7.77818	0.369341	1.87179	1.87179	6.84429	0.273482
26	2	1.0093	1.0093	3.11202	0.324322	0.623327	0.623327	1.40324	0.444206
26	3	0.336857	0.336857	0.978817	0.344147	0.27365	0.27365	0.746618	0.366519
26	4	0.234959	0.234959	0.500388	0.469553	0.281228	0.281228	0.455431	0.617498
26	5	0.170117	0.170117	0.336555	0.505464	0.0649385	0.0649385	0.163688	0.396721
26	6	0.082418	0.082418	0.153615	0.536522	0.111314	0.111314	0.172558	0.645079
26	7	0.0923866	0.0923866	0.131537	0.702364	0.00871516	0.00871516	0.115717	0.0753146
26	8	-0.0432507	-0.0432507	0.0814152	-0.531237	-0.00897312	-0.00897312	0.0654724	-0.137052
27	0	1.23963	1.23963	8.1265	0.152542	2.35212	2.35212	8.1265	0.289438
27	1	1.07515	1.07515	5.39787	0.199181	0.15148	0.15148	2.35603	0.0642946
27	2	0.430459	0.430459	1.29612	0.332113	0.328692	0.328692	0.922465	0.35632
27	3	0.202437	0.202437	0.412768	0.490439	0.115483	0.115483	0.187677	0.615327
27	4	0.0192921	0.0192921	0.0915549	0.210716	0.0383748	0.0383748	0.0753169	0.509511
27	5	0.0358884	0.0358884	0.053148	0.675254	-0.0458243	-0.0458243	0.0329345	-1.39138
27	6	-0.0579884	-0.0579884	0.0226593	-2.55914	-0.00413248	-0.00413248	0.0311594	-0.132624
27	7	-0.0109716	-0.0109716	0.0220119	-0.498441	0.0283049	0.0283049	0.0180488	1.56824
27	8	0.00959076	0.00959076	0.00850906	1.12712	-0.0183989	-0.0183989	0.00798929	-2.30295
28	0	2.5623	2.5623	8.99544	0.284845	3.73664	3.73664	8.99544	0.415392
28	1	1.45522	1.45522	7.68966	0.189243	0.171406	0.171406	3.11517	0.0550231
28	2	0.0205299	0.0205299	1.42541	0.0144028	0.367173	0.367173	1.53353	0.239429
28	3	0.404087	0.404087	0.869367	0.464806	0.167015	0.167015	0.524674	0.318322
28	4	0.0558309	0.0558309	0.312539	0.178637	0.0612676	0.0612676	0.311312	0.196804
28	5	0.0394924	0.0394924	0.238877	0.165325	0.0733177	0.0733177	0.274011	0.267572
28	6	0.112666	0.112666	0.243593	0.462516	0.252387	0.252387	0.220934	1.14237
