ID Year Sex Age Mass BL BMI RelativeJulian Phi Rho Fitness StMass Mother A animal M2006 M2007 M2008 M2009 M2010 M2011 M2012 M2013 M2014 M2015 M2016 A2006 A2007 A2008 A2009 A2010 A2011 A2012 A2013 A2014 A2015 A2016 A1 A2 BL1 BL2 BMI1 BMI2 BMIPhi1 BMIPhi2 BMIRho1 BMIRho2 RJst RJ2st Ast BLst BMIst FitnessYear OS PhiZ RhoZ FitnessZ
CN06-028 2006 Female J 19 NA 186.390590655868 41 0 0 0 -1.42945950306884 CN06-025 39.0667332430566 CN06-028 19 NA NA NA NA NA NA NA NA NA NA 39.0667332430566 NA NA NA NA NA NA NA NA NA NA 39.0667332430566 NA NA NA 186.390590655868 NA NA 186.390590655868 186.390590655868 NA -1.26700873717208 -1.16647538006882 0.105507465170187 NA -1.8581372695764 0 NA 0 0 0
CN06-033 2006 Female A 36.2421310987723 NA 340.708217923936 85.6 0 2 2 0.614691468519182 NA 36.2421310987723 CN06-033 36.2421310987723 NA NA NA NA NA NA NA NA NA NA 36.2421310987723 NA NA NA NA NA NA NA NA NA NA 36.2421310987723 NA NA NA 340.708217923936 NA NA 340.708217923936 340.708217923936 NA 0.123228613623358 -0.0712427862494709 -0.687428720213047 NA 0.948705420237351 1.23648648648649 37.5660415486164 0 0 0
CN06-034 2006 Female A 32.8390146709378 NA 299.228682747771 64.25 0 2 2 0.211233003174344 NA 32.8390146709378 CN06-034 32.8390146709378 NA NA NA NA NA NA NA NA NA NA 32.8390146709378 NA NA NA NA NA NA NA NA NA NA 32.8390146709378 NA NA NA 299.228682747771 NA NA 299.228682747771 299.228682747771 NA -0.542277382777597 -0.691815137166654 -1.64276827632102 NA 0.194245076676966 1.23648648648649 36.1287775549521 0 0 0
CN06-035 2006 Female A 43.9814612267816 NA 416.223314944184 55.5 0 0 0 1.53223229395328 NA 43.9814612267816 CN06-035 43.9814612267816 NA NA NA NA NA NA NA NA NA NA 43.9814612267816 NA NA NA NA NA NA NA NA NA NA 43.9814612267816 NA NA NA 416.223314944184 NA NA 416.223314944184 416.223314944184 NA -0.815025741958317 -0.895060839213872 1.48519404067499 NA 2.32222963645448 0 NA 0 0 0
CN06-036 2006 Female A 34.5843326025076 NA 277.335569931898 83.25 1 1 3 0.418150194855045 NA 34.5843326025076 CN06-036 34.5843326025076 NA NA NA NA NA NA NA NA NA NA 34.5843326025076 NA NA NA NA NA NA NA NA NA NA 34.5843326025076 NA NA NA 277.335569931898 NA NA 277.335569931898 277.335569931898 NA 0.0499761971576792 -0.148210169686948 -1.15281405542645 NA -0.203962987770228 1.85472972972973 35.3036074645408 1 2 4
CN06-036 2007 Female A 41.6553287173638 0.115 363.224295091678 67.5 1 2 4 1.25645628912361 NA 41.6553287173638 CN06-036 NA 41.6553287173638 NA NA NA NA NA NA NA NA NA NA 41.6553287173638 NA NA NA NA NA NA NA NA NA 41.6553287173638 NA 0.115 NA 363.224295091678 NA 363.224295091678 NA 363.224295091678 NA -0.440970849367616 -0.608758990150519 0.832190699143851 0.768906772192223 1.35824441925122 2.57333333333333 38.3952916985478 1 0 2
CN06-036 2008 Female A 38.9425581695959 0.117 332.842377517914 41.5 0 0 0 0.934842184744724 NA 38.9425581695959 CN06-036 NA NA 38.9425581695959 NA NA NA NA NA NA NA NA NA NA 38.9425581695959 NA NA NA NA NA NA NA NA NA 38.9425581695959 0.117 NA 332.842377517914 NA 332.842377517914 NA NA 332.842377517914 -1.25142311664747 -1.15847405806755 0.07064842873249 0.942291707207484 0.805635720205403 0 NA 0 0 0
CN06-037 2006 Male A 43.5162332820212 NA 380.224966576057 68.7 0 4 4 1.47707692192625 NA 43.5162332820212 CN06-037 43.5162332820212 NA NA NA NA NA NA NA NA NA NA 43.5162332820212 NA NA NA NA NA NA NA NA NA NA 43.5162332820212 NA NA NA 380.224966576057 NA NA 380.224966576057 380.224966576057 NA -0.403565360108545 -0.577056297595699 1.3545929673173 NA 1.66746515652294 2.47297297297297 37.8785672971141 0 0 0
CN06-038 2006 Female A 47.7427950563766 NA 404.949847373964 54.5 0 4 4 1.97815943359677 NA 47.7427950563766 CN06-038 47.7427950563766 NA NA NA NA NA NA NA NA NA NA 47.7427950563766 NA NA NA NA NA NA NA NA NA NA 47.7427950563766 NA NA NA 404.949847373964 NA NA 404.949847373964 404.949847373964 NA -0.846196983007542 -0.916397697883906 2.5410941449878 NA 2.11717950317736 2.47297297297297 36.7422265064212 0 0 0
CN06-039 2006 Female A 38.6184308076032 NA 401.735910965864 95 1 2 4 0.89641507511772 NA 38.6184308076032 CN06-039 38.6184308076032 NA NA NA NA NA NA NA NA NA NA 38.6184308076032 NA NA NA NA NA NA NA NA NA NA 38.6184308076032 NA NA NA 401.735910965864 NA NA 401.735910965864 401.735910965864 NA 0.416238279486074 0.258050893319574 -0.0203421960947702 NA 2.05872206009517 2.47297297297297 NA 1 0 2
