RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
91	3	-0.0743577	-0.107338	0.975805	-0.109999	-0.00954974	-0.00037633	1.12074	-0.000335786
91	4	-0.0472412	0.111787	1.0033	0.111419	-0.0727396	-0.0365748	0.843641	-0.0433535
91	5	-0.0102652	-0.0450023	0.761328	-0.0591103	0.00319273	-0.0187288	0.685673	-0.0273144
91	6	-0.0429421	-0.0921146	0.725219	-0.127016	-0.251752	0.149407	1.40138	0.106614
91	7	-0.254064	-0.554651	1.13445	-0.488918	0.0488607	0.0362514	1.08813	0.0333153
91	8	0.286156	1.0975	1.15552	0.949792	0.0802707	0.77657	2.53396	0.306466
91	9	-0.116126	0.481186	1.02407	0.469877	-0.0174665	-0.150768	0.538086	-0.280194
92	0	0.0516602	0.0471544	0.973452	0.0484404	0.257398	0.00487447	0.973452	0.00500741
92	1	0.387608	-0.389285	1.00102	-0.388887	0.266136	-0.124665	0.637112	-0.195671
92	2	0.0353688	-0.200723	1.14982	-0.174568	-0.0727663	-0.436317	1.11858	-0.390064
92	3	0.00312962	0.140476	1.08866	0.129036	-0.00452925	0.0182947	0.952303	0.019211
92	4	0.0188188	-0.137774	1.16486	-0.118275	0.179009	0.273601	0.990101	0.276336
92	5	0.215778	0.255829	0.941105	0.271839	0.181441	0.0766579	0.485996	0.157734
92	6	0.100904	0.17231	0.671422	0.256635	-0.0767471	-0.00957102	0.309838	-0.0308904
92	7	-0.171119	-0.364927	0.912213	-0.400046	-0.0681004	-0.741622	1.66118	-0.446442
92	8	0.143751	0.34952	0.818426	0.427063	0.118783	0.487447	0.772041	0.631374
92	9	-0.0613971	0.00743255	1.02308	0.0072649	0.18553	0.236598	0.803063	0.29462
93	0	-0.0159965	-0.0204393	0.943562	-0.0216619	-0.0239653	-0.179801	0.943562	-0.190556
93	1	0.000414724	-0.0663221	0.826789	-0.0802166	-0.0465535	0.0424479	0.854932	0.0496506
93	2	-0.092094	-0.187971	0.970504	-0.193684	-0.0491919	-0.28034	1.03379	-0.271178
93	3	0.0161399	0.130737	1.08421	0.120583	-0.0902783	0.310203	1.0956	0.283136
